"city","state","country","geographykey","customerkey","customername","commutedistance"
"Chula Vista","California","United States",307,11049,"Carol C Rai","5-10 Miles"
"Hobart","Tasmania","Australia",31,11050,"Alan Zheng","5-10 Miles"
"Caloundra","Queensland","Australia",21,11051,"Daniel Johnson","1-2 Miles"
"Matraville","New South Wales","Australia",8,11052,"Heidi Lopez","5-10 Miles"
"San Diego","California","United States",359,11053,"Ana E Price","1-2 Miles"
"Geelong","Victoria","Australia",34,11054,"Deanna Munoz","5-10 Miles"
"East Brisbane","Queensland","Australia",22,11055,"Gilbert Raje","5-10 Miles"
"Newcastle","New South Wales","Australia",10,11056,"Michele L Nath","5-10 Miles"
"Lane Cove","New South Wales","Australia",5,11057,"Carl J Andersen","1-2 Miles"
"Findon","South Australia","Australia",29,11058,"Marc Diaz","1-2 Miles"
"Townsville","Queensland","Australia",27,11059,"Ashlee J Andersen","5-10 Miles"
"Warrnambool","Victoria","Australia",40,11060,"Jon L Zhou","5-10 Miles"
"Gold Coast","Queensland","Australia",23,11061,"Todd M Gao","5-10 Miles"
"Portland","Oregon","United States",547,11062,"Noah D Powell","5-10 Miles"
"Redmond","Washington","United States",634,11063,"Angela Murphy","5-10 Miles"
"Downey","California","United States",315,11064,"Chase Reed","5-10 Miles"
"La Jolla","California","United States",331,11065,"Jessica Henderson","1-2 Miles"
"Lebanon","Oregon","United States",543,11066,"Grace T Butler","5-10 Miles"
"Port Orchard","Washington","United States",632,11067,"Caleb F Carter","5-10 Miles"
"Warrnambool","Victoria","Australia",40,11068,"Tiffany Liang","5-10 Miles"
"Gold Coast","Queensland","Australia",23,11069,"Carolyn Navarro","1-2 Miles"
"Sunbury","Victoria","Australia",39,11070,"Willie T Raji","5-10 Miles"
"Hawthorne","Queensland","Australia",24,11071,"Linda Serrano","5-10 Miles"
"St. Leonards","New South Wales","Australia",17,11072,"Casey Luo","1-2 Miles"
"Springwood","New South Wales","Australia",16,11073,"Amy Ye","5-10 Miles"
"Cloverdale","South Australia","Australia",28,11074,"Levi A Arun","5-10 Miles"
"Bendigo","Victoria","Australia",32,11075,"Felicia L Jimenez","5-10 Miles"
"Wollongong","New South Wales","Australia",19,11076,"Blake Anderson","5-10 Miles"
"Melton","Victoria","Australia",36,11077,"Leah Ye","1-2 Miles"
"Cliffside","British Columbia","Canada",49,11078,"Gina E Martin","1-2 Miles"
"Geelong","Victoria","Australia",34,11079,"Donald Gonzalez","0-1 Miles"
"Perth","South Australia","Australia",30,11080,"Damien Chander","0-1 Miles"
"Concord","California","United States",311,11081,"Savannah C Baker","2-5 Miles"
"Fremont","California","United States",322,11082,"Angela L Butler","1-2 Miles"
"Lincoln Acres","California","United States",336,11083,"Alyssa F Cox","1-2 Miles"
"Lebanon","Oregon","United States",543,11084,"Lucas Phillips","1-2 Miles"
"Newport Beach","California","United States",345,11085,"Emily Johnson","5-10 Miles"
"Santa Monica","California","United States",369,11086,"Ryan Brown","0-1 Miles"
"Chula Vista","California","United States",307,11087,"Tamara L Liang","0-1 Miles"
"San Diego","California","United States",359,11088,"Hunter Davis","2-5 Miles"
"Long Beach","California","United States",337,11089,"Abigail M Price","2-5 Miles"
"Los Angeles","California","United States",338,11090,"Trevor Bryant","2-5 Miles"
"Haney","British Columbia","Canada",50,11091,"Dalton Perez","5-10 Miles"
"East Brisbane","Queensland","Australia",22,11092,"Cheryl A Diaz","1-2 Miles"
"Wollongong","New South Wales","Australia",19,11093,"Aimee A He","0-1 Miles"
"Cranbourne","Victoria","Australia",33,11094,"Cedric W Ma","0-1 Miles"
"Port Macquarie","New South Wales","Australia",13,11095,"Chad Kumar","5-10 Miles"
"North Sydney","New South Wales","Australia",12,11096,"Andrés Anand","5-10 Miles"
"Warrnambool","Victoria","Australia",40,11097,"Edwin R Nara","5-10 Miles"
"Rhodes","New South Wales","Australia",14,11098,"Mallory S Rubio","0-1 Miles"
"Port Macquarie","New South Wales","Australia",13,11099,"Adam Ross","0-1 Miles"
"Cloverdale","South Australia","Australia",28,11100,"Latasha L Navarro","5-10 Miles"
"Cranbourne","Victoria","Australia",33,11101,"Abby L Sai","0-1 Miles"
"Sydney","New South Wales","Australia",18,11102,"Julia L Nelson","1-2 Miles"
"Darlinghurst","New South Wales","Australia",3,11103,"Cassie Chande","5-10 Miles"
"Gold Coast","Queensland","Australia",23,11104,"Edgar A Sara","0-1 Miles"
"Matraville","New South Wales","Australia",8,11105,"Candace Fernandez","5-10 Miles"
"Warrnambool","Victoria","Australia",40,11106,"Jessie Liu","5-10 Miles"
"St. Leonards","New South Wales","Australia",17,11107,"Bianca Lin","5-10 Miles"
"Port Macquarie","New South Wales","Australia",13,11108,"Kari C Alvarez","0-1 Miles"
"South Melbourne","Victoria","Australia",38,11109,"Ruben D Kapoor","0-1 Miles"
"Darlinghurst","New South Wales","Australia",3,11110,"Curtis Yang","5-10 Miles"
"Geelong","Victoria","Australia",34,11111,"Meredith T Gutierrez","0-1 Miles"
"Hervey Bay","Queensland","Australia",25,11112,"Crystal C Wang","0-1 Miles"
"Perth","South Australia","Australia",30,11113,"Micheal A Blanco","5-10 Miles"
"Rhodes","New South Wales","Australia",14,11114,"Leslie C Moreno","5-10 Miles"
"St. Leonards","New South Wales","Australia",17,11115,"Alvin D Cai","0-1 Miles"
"Sydney","New South Wales","Australia",18,11116,"Clinton E Carlson","5-10 Miles"
"Matraville","New South Wales","Australia",8,11117,"April Deng","10+ Miles"
"Lavender Bay","New South Wales","Australia",6,11118,"Alvin M Zeng","0-1 Miles"
"Port Macquarie","New South Wales","Australia",13,11119,"Evan V James","0-1 Miles"
"Sydney","New South Wales","Australia",18,11120,"Beth H Jiménez","5-10 Miles"
"Newcastle","New South Wales","Australia",10,11121,"Orlando Suarez","10+ Miles"
"North Sydney","New South Wales","Australia",12,11122,"Byron Vazquez","5-10 Miles"
"Sunbury","Victoria","Australia",39,11123,"Philip A Alvarez","10+ Miles"
"Warrnambool","Victoria","Australia",40,11124,"Ross F Jordan","5-10 Miles"
"Seaford","Victoria","Australia",37,11125,"Dana J Navarro","5-10 Miles"
"North Ryde","New South Wales","Australia",11,11126,"Shaun Carson","0-1 Miles"
"San Gabriel","California","United States",361,11127,"Jan Edwards","5-10 Miles"
"Renton","Washington","United States",635,11128,"Samantha Long","5-10 Miles"
"Sedro Woolley","Washington","United States",638,11129,"Julia M Wright","5-10 Miles"
"Lebanon","Oregon","United States",543,11130,"Caroline L Russell","5-10 Miles"
"Haney","British Columbia","Canada",50,11131,"Amanda Rivera","0-1 Miles"
"Langford","British Columbia","Canada",51,11132,"Melissa E Richardson","5-10 Miles"
"Lake Oswego","Oregon","United States",542,11133,"Angela Griffin","0-1 Miles"
"Perth","South Australia","Australia",30,11134,"Larry D Townsend","5-10 Miles"
"Burlingame","California","United States",302,11135,"Marcus L Harris","5-10 Miles"
"Metchosin","British Columbia","Canada",53,11136,"Brianna D Morgan","0-1 Miles"
"Spokane","Washington","United States",641,11137,"Jasmine A Taylor","5-10 Miles"
"Glendale","California","United States",325,11138,"Lauren Davis","0-1 Miles"
"Cloverdale","South Australia","Australia",28,11139,"Tanya Moreno","5-10 Miles"
"Burbank","California","United States",301,11140,"Javier L Alvarez","5-10 Miles"
"Daly City","California","United States",314,11141,"Nicole Ramirez","0-1 Miles"
"Langford","British Columbia","Canada",51,11142,"Eduardo Patterson","0-1 Miles"
"Lakewood","California","United States",334,11143,"Jonathan M Henderson","5-10 Miles"
"Ballard","Washington","United States",607,11144,"Edward Hernandez","0-1 Miles"
"Beaverton","Oregon","United States",536,11145,"Jasmine L Coleman","0-1 Miles"
"Matraville","New South Wales","Australia",8,11146,"Karla L Goel","5-10 Miles"
"Warrnambool","Victoria","Australia",40,11147,"Ernest L Wu","0-1 Miles"
"East Brisbane","Queensland","Australia",22,11148,"Ross Vazquez","5-10 Miles"
"Hervey Bay","Queensland","Australia",25,11149,"Theodore Gill","0-1 Miles"
"Sunbury","Victoria","Australia",39,11150,"Russell M Shen","5-10 Miles"
"Sydney","New South Wales","Australia",18,11151,"Melinda G Gill","0-1 Miles"
"Puyallup","Washington","United States",633,11152,"James J Williams","5-10 Miles"
"Renton","Washington","United States",635,11153,"Angela R James","5-10 Miles"
"Woodburn","Oregon","United States",553,11154,"Megan G Walker","5-10 Miles"
"Burbank","California","United States",301,11155,"Hunter J Robinson","1-2 Miles"
"Lakewood","California","United States",334,11156,"Maria Roberts","1-2 Miles"
"Tacoma","Washington","United States",642,11157,"Hannah E Long","5-10 Miles"
"San Gabriel","California","United States",361,11158,"Jason K Wright","5-10 Miles"
"Woodland Hills","California","United States",385,11159,"Brianna A Hughes","1-2 Miles"
"Concord","California","United States",311,11160,"Maurice M Tang","5-10 Miles"
"Concord","California","United States",311,11161,"Emily Wood","1-2 Miles"
"La Jolla","California","United States",331,11162,"Chase Cox","5-10 Miles"
"Spring Valley","California","United States",372,11163,"Gabriel Wang","5-10 Miles"
"Torrance","California","United States",374,11164,"Devin Brooks","1-2 Miles"
"Oakland","California","United States",348,11165,"Jocelyn Alexander","1-2 Miles"
"Olympia","Washington","United States",631,11166,"Ashley Martinez","0-1 Miles"
"Issaquah","Washington","United States",618,11167,"Jasmine J Barnes","0-1 Miles"
"Oakland","California","United States",348,11168,"David Rodriguez","0-1 Miles"
"Coronado","California","United States",312,11169,"Bryce Richardson","0-1 Miles"
"Burien","Washington","United States",612,11170,"Carol T Howard","0-1 Miles"
"Woodland Hills","California","United States",385,11171,"Jonathan E Hill","1-2 Miles"
"Lynnwood","Washington","United States",626,11172,"Gabrielle J Adams","1-2 Miles"
"W. Linn","Oregon","United States",552,11173,"Sarah F Thomas","0-1 Miles"
"Los Angeles","California","United States",338,11174,"Nicholas Robinson","2-5 Miles"
"Beverly Hills","California","United States",300,11175,"Luis Wang","5-10 Miles"
"Haney","British Columbia","Canada",50,11176,"Mason D Roberts","1-2 Miles"
"San Diego","California","United States",359,11177,"Jose M Flores","5-10 Miles"
"Lakewood","California","United States",334,11178,"Nathan J Johnson","1-2 Miles"
"Beverly Hills","California","United States",300,11179,"Molly E Rodriguez","5-10 Miles"
"Chula Vista","California","United States",307,11180,"April Anand","0-1 Miles"
"Los Angeles","California","United States",338,11181,"Devin P Martin","0-1 Miles"
"Sedro Woolley","Washington","United States",638,11182,"Stephanie Torres","10+ Miles"
"Santa Cruz","California","United States",368,11183,"Jasmine W Lee","10+ Miles"
"Concord","California","United States",311,11184,"Meghan Hernandez","10+ Miles"
"Metchosin","British Columbia","Canada",53,11185,"Ashley Henderson","10+ Miles"
"Palo Alto","California","United States",352,11186,"Sarah C Price","10+ Miles"
"Burien","Washington","United States",612,11187,"Jennifer S Cooper","10+ Miles"
"San Gabriel","California","United States",361,11188,"Catherine Morris","1-2 Miles"
"Bellingham","Washington","United States",609,11189,"Lawrence W Blanco","10+ Miles"
"Beverly Hills","California","United States",300,11190,"Carson Bryant","10+ Miles"
"Colma","California","United States",310,11191,"Kristi E Perez","10+ Miles"
"Seattle","Washington","United States",637,11192,"James C Brown","2-5 Miles"
"Woodburn","Oregon","United States",553,11193,"Ian A Gray","2-5 Miles"
"Palo Alto","California","United States",352,11194,"Jacqueline R Price","2-5 Miles"
"Renton","Washington","United States",635,11195,"Megan Henderson","10+ Miles"
"Beaverton","Oregon","United States",536,11196,"Alfredo Romero","10+ Miles"
"Seattle","Washington","United States",637,11197,"Andrea Morris","1-2 Miles"
"Santa Cruz","California","United States",368,11198,"Brooke Sanders","10+ Miles"
"Burlingame","California","United States",302,11199,"Jacqueline Bennett","10+ Miles"
"Victoria","British Columbia","Canada",69,11200,"Jason L Griffin","1-2 Miles"
"Santa Monica","California","United States",369,11201,"Amanda Foster","10+ Miles"
"Lakewood","California","United States",334,11202,"Alexia L Price","1-2 Miles"
"Port Hammond","British Columbia","Canada",60,11203,"Luis D Diaz","10+ Miles"
"Beaverton","Oregon","United States",536,11204,"Destiny C Rivera","2-5 Miles"
"Burien","Washington","United States",612,11205,"Abby Fernandez","10+ Miles"
"Lynnwood","Washington","United States",626,11206,"Blake Flores","10+ Miles"
"Renton","Washington","United States",635,11207,"Danielle Cox","10+ Miles"
"Glendale","California","United States",325,11208,"Maria Reed","10+ Miles"
"Lincoln Acres","California","United States",336,11209,"Allison Evans","10+ Miles"
"West Covina","California","United States",383,11210,"Edward J Wood","10+ Miles"
"Haney","British Columbia","Canada",50,11211,"Samantha Russell","2-5 Miles"
"Metchosin","British Columbia","Canada",53,11212,"Chloe Campbell","2-5 Miles"
"Edmonds","Washington","United States",614,11213,"Stephanie B Murphy","10+ Miles"
"Milwaukie","Oregon","United States",545,11214,"Charles O Miller","10+ Miles"
"Royal Oak","British Columbia","Canada",62,11215,"Ana Perry","10+ Miles"
"Portland","Oregon","United States",547,11216,"Jasmine A Torres","10+ Miles"
"Portland","Oregon","United States",547,11217,"Natalie P Adams","10+ Miles"
"Tacoma","Washington","United States",642,11218,"Olivia Brown","2-5 Miles"
"Woodburn","Oregon","United States",553,11219,"Charles Cook","10+ Miles"
"Colma","California","United States",310,11220,"Erica C Huang","10+ Miles"
"Lakewood","California","United States",334,11221,"Nathan Perry","1-2 Miles"
"Santa Monica","California","United States",369,11222,"Alexandra Rivera","1-2 Miles"
"Langley","British Columbia","Canada",52,11223,"Hailey I Patterson","2-5 Miles"
"Burien","Washington","United States",612,11224,"Tiffany J Li","10+ Miles"
"Renton","Washington","United States",635,11225,"Madison D Lee","10+ Miles"
"W. Linn","Oregon","United States",552,11226,"Sydney T Ross","2-5 Miles"
"Colma","California","United States",310,11227,"Marshall D Chavez","10+ Miles"
"El Cajon","California","United States",316,11228,"Ashley R Jones","10+ Miles"
"Redwood City","California","United States",355,11229,"Adrian C Stewart","10+ Miles"
"Santa Monica","California","United States",369,11230,"Amber Turner","2-5 Miles"
"Bremerton","Washington","United States",611,11231,"Dennis Zhang","10+ Miles"
"Everett","Washington","United States",616,11232,"Hailey R Bryant","2-5 Miles"
"Berkeley","California","United States",299,11233,"Todd Li","10+ Miles"
"Long Beach","California","United States",337,11234,"Anna Griffin","10+ Miles"
"Ballard","Washington","United States",607,11235,"Angel J Stewart","10+ Miles"
"Bellingham","Washington","United States",609,11236,"Jeremy Butler","10+ Miles"
"Solingen","Nordrhein-Westfalen","Germany",161,11237,"Clarence M Anand","0-1 Miles"
"Birmingham","England","United Kingdom",232,11238,"Mayra Prasad","0-1 Miles"
"London","England","United Kingdom",249,11239,"Latoya C Goel","5-10 Miles"
"Watford","England","United Kingdom",273,11240,"Anne B Hernandez","5-10 Miles"
"Les Ulis","Essonne","France",211,11241,"Lisa Cai","5-10 Miles"
"Versailles","Yveline","France",209,11242,"Larry Munoz","5-10 Miles"
"Esher-Molesey","England","United Kingdom",237,11243,"Robin V Alvarez","0-1 Miles"
"Runcorn","England","United Kingdom",267,11244,"Alexis M Coleman","0-1 Miles"
"Hamburg","Hessen","Germany",132,11245,"Ricky D Vazquez","5-10 Miles"
"Hamburg","Hamburg","Germany",147,11246,"Latasha Rubio","5-10 Miles"
"Lancaster","England","United Kingdom",242,11247,"Claudia M Zhou","0-1 Miles"
"Saint-Denis","Seine Saint Denis","France",223,11248,"Tristan P Alexander","10+ Miles"
"Sulzbach Taunus","Saarland","Germany",178,11249,"Cindy A Patel","0-1 Miles"
"Woolston","England","United Kingdom",276,11250,"Shannon D Liu","5-10 Miles"
"Haney","British Columbia","Canada",50,11251,"Xavier Long","5-10 Miles"
"Lemon Grove","California","United States",335,11252,"Nicholas D Thompson","2-5 Miles"
"Victoria","British Columbia","Canada",69,11253,"José M Hernandez","1-2 Miles"
"Burien","Washington","United States",612,11254,"Johnathan W Vance","5-10 Miles"
"Burien","Washington","United States",612,11255,"Colin Lin","5-10 Miles"
"Lynnwood","Washington","United States",626,11256,"Katelyn L Hernandez","5-10 Miles"
"Newport Beach","California","United States",345,11257,"Jacqueline Powell","2-5 Miles"
"Palo Alto","California","United States",352,11258,"Xavier Hill","2-5 Miles"
"Salem","Oregon","United States",548,11259,"Victoria C Stewart","2-5 Miles"
"Burlingame","California","United States",302,11260,"Katelyn L Kelly","2-5 Miles"
"San Diego","California","United States",359,11261,"Stephanie Collins","0-1 Miles"
"Port Hammond","British Columbia","Canada",60,11262,"Jennifer Simmons","0-1 Miles"
"Burien","Washington","United States",612,11263,"Trinity Richardson","2-5 Miles"
"Issaquah","Washington","United States",618,11264,"Eduardo Martin","0-1 Miles"
"Kirkland","Washington","United States",623,11265,"Elizabeth P Jones","0-1 Miles"
"Port Orchard","Washington","United States",632,11266,"Taylor Howard","5-10 Miles"
"Burlingame","California","United States",302,11267,"David Diaz","2-5 Miles"
"Coronado","California","United States",312,11268,"Katelyn A Carter","1-2 Miles"
"Daly City","California","United States",314,11269,"Ryan W Foster","0-1 Miles"
"Lakewood","California","United States",334,11270,"Robert L Lee","0-1 Miles"
"San Francisco","California","United States",360,11271,"Danielle C Reed","1-2 Miles"
"Beverly Hills","California","United States",300,11272,"Lauren L Martinez","5-10 Miles"
"La Jolla","California","United States",331,11273,"Nathan E Lal","10+ Miles"
"Bellingham","Washington","United States",609,11274,"Kyle M Foster","5-10 Miles"
"Colma","California","United States",310,11275,"Jenny D Rai","0-1 Miles"
"Cliffside","British Columbia","Canada",49,11276,"Nancy E Chapman","2-5 Miles"
"Royal Oak","British Columbia","Canada",62,11277,"Charles P Jackson","0-1 Miles"
"Edmonds","Washington","United States",614,11278,"Jonathan Phillips","10+ Miles"
"Everett","Washington","United States",616,11279,"Amanda S Cook","10+ Miles"
"Lynnwood","Washington","United States",626,11280,"Robert Collins","10+ Miles"
"Burbank","California","United States",301,11281,"Megan J Barnes","5-10 Miles"
"Burien","Washington","United States",612,11282,"Christian A Thomas","1-2 Miles"
"Berkeley","California","United States",299,11283,"Arturo Lal","1-2 Miles"
"Chula Vista","California","United States",307,11284,"Theresa Serrano","1-2 Miles"
"Fremont","California","United States",322,11285,"Jeremy J Anderson","2-5 Miles"
"Torrance","California","United States",374,11286,"Hunter D Griffin","2-5 Miles"
"Cliffside","British Columbia","Canada",49,11287,"Henry B Garcia","5-10 Miles"
"Burbank","California","United States",301,11288,"Cindy K Sanchez","2-5 Miles"
"Downey","California","United States",315,11289,"Maria S Carter","0-1 Miles"
"Lakewood","California","United States",334,11290,"Katelyn Sanchez","2-5 Miles"
"Lemon Grove","California","United States",335,11291,"Jenna Wright","2-5 Miles"
"San Gabriel","California","United States",361,11292,"Seth Phillips","0-1 Miles"
"Port Orchard","Washington","United States",632,11293,"Luke S Long","1-2 Miles"
"Issaquah","Washington","United States",618,11294,"Dalton P Clark","1-2 Miles"
"Concord","California","United States",311,11295,"Taylor G Lewis","5-10 Miles"
"Everett","Washington","United States",616,11296,"Haley Richardson","5-10 Miles"
"Burbank","California","United States",301,11297,"Noah Coleman","5-10 Miles"
"Chula Vista","California","United States",307,11298,"Jon Luo","1-2 Miles"
"Burbank","California","United States",301,11299,"Orlando E Vazquez","1-2 Miles"
"N. Vancouver","British Columbia","Canada",54,11300,"Fernando Barnes","1-2 Miles"
"Ballard","Washington","United States",607,11301,"Cameron L Rodriguez","5-10 Miles"
"Corvallis","Oregon","United States",539,11302,"Spencer Russell","1-2 Miles"
"Edmonds","Washington","United States",614,11303,"Julia Coleman","1-2 Miles"
"Portland","Oregon","United States",547,11304,"Julia B Garcia","5-10 Miles"
"Chula Vista","California","United States",307,11305,"Sean A Evans","2-5 Miles"
"Coronado","California","United States",312,11306,"Micah A Zhou","2-5 Miles"
"Daly City","California","United States",314,11307,"Hunter P Rodriguez","5-10 Miles"
"Oregon City","Oregon","United States",546,11308,"Ian T Gonzales","1-2 Miles"
"Beaverton","Oregon","United States",536,11309,"Victoria Lewis","5-10 Miles"
"San Francisco","California","United States",360,11310,"Erin A Sanders","5-10 Miles"
"Lynnwood","Washington","United States",626,11311,"Gabrielle D Lopez","1-2 Miles"
"Lynnwood","Washington","United States",626,11312,"Sara Richardson","5-10 Miles"
"Port Orchard","Washington","United States",632,11313,"Trevor Jenkins","5-10 Miles"
"Issaquah","Washington","United States",618,11314,"Mya Flores","1-2 Miles"
"Port Orchard","Washington","United States",632,11315,"Hailey J Ward","1-2 Miles"
"Langford","British Columbia","Canada",51,11316,"Luke Allen","5-10 Miles"
"Salem","Oregon","United States",548,11317,"Victoria D Russell","5-10 Miles"
"Edmonds","Washington","United States",614,11318,"Jessica Wilson","1-2 Miles"
"Oakland","California","United States",348,11319,"Jade E Bailey","1-2 Miles"
"Glendale","California","United States",325,11320,"Morgan M Hill","5-10 Miles"
"Burien","Washington","United States",612,11321,"Terrance D Raman","5-10 Miles"
"Bremerton","Washington","United States",611,11322,"Sydney Garcia","5-10 Miles"
"Daly City","California","United States",314,11323,"Jose Patterson","5-10 Miles"
"Glendale","California","United States",325,11324,"Zachary Anderson","1-2 Miles"
"Seattle","Washington","United States",637,11325,"Elijah E Ross","5-10 Miles"
"Beverly Hills","California","United States",300,11326,"Rafael M Xie","0-1 Miles"
"Burbank","California","United States",301,11327,"Jaime C Moreno","5-10 Miles"
"Newton","British Columbia","Canada",55,11328,"Julian M Griffin","5-10 Miles"
"Concord","California","United States",311,11329,"Andy Alvarez","5-10 Miles"
"Oak Bay","British Columbia","Canada",59,11330,"Ryan M Thompson","2-5 Miles"
"Shawnee","British Columbia","Canada",63,11331,"Samantha Jenkins","1-2 Miles"
"Berlin","Nordrhein-Westfalen","Germany",153,11332,"Deanna D Ramos","0-1 Miles"
"Newcastle upon Tyne","England","United Kingdom",261,11333,"Emily R Miller","0-1 Miles"
"Stoke-on-Trent","England","United Kingdom",269,11334,"Nicole Brown","0-1 Miles"
"Hof","Bayern","Germany",120,11335,"Carla L Raman","0-1 Miles"
"Paris","Seine (Paris)","France",204,11336,"Shaun Raji","0-1 Miles"
"Watford","England","United Kingdom",273,11337,"Jerome Romero","0-1 Miles"
"Bonn","Nordrhein-Westfalen","Germany",154,11338,"Frank F Navarro","0-1 Miles"
"Paris","Seine (Paris)","France",202,11339,"Dennis M She","0-1 Miles"
"Paris","Seine (Paris)","France",192,11340,"Melody C Munoz","0-1 Miles"
"Cheltenham","England","United Kingdom",236,11341,"Randy A Zeng","0-1 Miles"
"Boulogne-sur-Mer","Pas de Calais","France",191,11342,"Marshall L Wang","0-1 Miles"
"Oxon","England","United Kingdom",264,11343,"Arthur P Carlson","0-1 Miles"
"Oxford","England","United Kingdom",262,11344,"Jessie Jimenez","0-1 Miles"
"Tremblay-en-France","Seine Saint Denis","France",224,11345,"Robin Ramos","0-1 Miles"
"Paris","Seine (Paris)","France",196,11346,"Deanna E Gutierrez","0-1 Miles"
"Braunschweig","Nordrhein-Westfalen","Germany",156,11347,"Roy T Navarro","0-1 Miles"
"Paderborn","Hamburg","Germany",151,11348,"Shawn Rai","0-1 Miles"
"München","Hessen","Germany",134,11349,"Mindy J Luo","2-5 Miles"
"Peterborough","England","United Kingdom",265,11350,"Cara Zhou","0-1 Miles"
"London","England","United Kingdom",253,11351,"Anne R Ramos","0-1 Miles"
"Pantin","Seine Saint Denis","France",222,11352,"Raymond A Rodriguez","0-1 Miles"
"Warrington","England","United Kingdom",271,11353,"Carrie L Ortega","0-1 Miles"
"Grevenbroich","Bayern","Germany",119,11354,"Deanna Suarez","0-1 Miles"
"Wokingham","England","United Kingdom",275,11355,"Roberto Gutierrez","0-1 Miles"
"Lavender Bay","New South Wales","Australia",6,11356,"Terrence Carson","2-5 Miles"
"Caloundra","Queensland","Australia",21,11357,"Ramon Ye","2-5 Miles"
"Coffs Harbour","New South Wales","Australia",2,11358,"Cynthia Malhotra","0-1 Miles"
"Malabar","New South Wales","Australia",7,11359,"Jarrod Prasad","0-1 Miles"
"Rockhampton","Queensland","Australia",26,11360,"Tyrone Serrano","2-5 Miles"
"Newcastle","New South Wales","Australia",10,11361,"Cindy G Ramos","0-1 Miles"
